"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"ProfileBubble"	"Current Profile"	"Perfil Actual"	"Aktuální profil"	"Nykyinen profiili"	"Profil actuel"	"Поточний профіль"	"Aktuell profil"	"Gjeldende profil"	"当前配置文件"	"Güncel profil"	"Текущий профиль"	"მიმდინარე პროფილი"	"Profilul curent"	"Perfil atual"	"Obecny profil"	"Huidig ​​profiel"	"Aktuelles Profil"	"현재 프로필"	"現在のプロファイル"	"Profilo attuale"	"Profil saat ini"	"वर्तमान प्रोफ़ाइल"	"বর্তমান প্রোফাইল"	"Hồ sơ hiện tại"	"التعريف الحالي"
"StartCities"	"Launch Cities: Skylines"	"Iniciar Cities: Skylines"	"Start Cities: Skylines"	"alkaa Cities: Skylines"	"Lancer Cities: Skylines"	"Почати Cities: Skylines"	"Start Cities: Skylines"	"Start Cities: Skylines"	"启动 Cities: Skylines"	"Başlangıç Cities: Skylines"	"Запустить Cities: Skylines"	"გაუშვი Cities: Skylines"	"start Cities: Skylines"	"Começar Cities: Skylines"	"Początek Cities: Skylines"	"Begin Cities: Skylines"	"Start Cities: Skylines"	"시작 Cities: Skylines"	"Cities: Skylinesを起動"	"Inizio Cities: Skylines"	"Awal Cities: Skylines"	"शुरू Cities: Skylines"	"শুরু Cities: Skylines"	"Bắt đầu Cities: Skylines"	"يبدأ Cities: Skylines"
"StopCities"	"Stop Cities: Skylines"	"Detener Cities: Skylines"	"Stop Cities: Skylines"	"Lopettaa Cities: Skylines"	"Arrêter Cities: Skylines"	"СТІЙ Cities: Skylines"	"Sluta Cities: Skylines"	"Stoppe Cities: Skylines"	"关闭 Cities: Skylines"	"Durmak Cities: Skylines"	"Закрыть Cities: Skylines"	"გააჩერე Cities: Skylines"	"Stop Cities: Skylines"	"Parar Cities: Skylines"	"Zatrzymywać się Cities: Skylines"	"Stop Cities: Skylines"	"Stoppen Cities: Skylines"	"멈추다 Cities: Skylines"	"Cities: Skylinesを終了"	"Fermare Cities: Skylines"	"Berhenti Cities: Skylines"	"रुकना Cities: Skylines"	"থামুন Cities: Skylines"	"Dừng lại Cities: Skylines"	"قف Cities: Skylines"
"AssetsBubble"	"Your Assets"	"Tus Elementos"	"Vaše aktiva"	"Omaisuutesi"	"Assets"	"Ваші активи"	"Dina tillgångar"	"Eiendelene dine"	"您的资产"	"Varlıklarınız"	"Ваши ассеты"	"თქვენი ასეტები"	"Activele tale"	"Seus ativos"	"Twoje aktywa"	"Uw activa"	"Ihr Vermögen"	"당신의 자산"	"使用中のアセット"	"I tuoi beni"	"Aset Anda"	"आपकी संपत्ति"	"আপনার সম্পদ"	"Tài sản của bạn"	"أصولك"
"ModsBubble"	"Your Mods"	"Tus Mods"	"Vaše mody"	"Modi"	"Mods"	"Ваші моди"	"Dina mods"	"Modene dine"	"您的模组"	"Modlarınız"	"Ваши моды"	"თქვენი მოდიფიკაციები"	"Modurile tale"	"Seus mods"	"Twoje mody"	"Uw mods"	"Ihre Mods"	"당신의 모드"	"使用中のMOD"	"Le tue mod"	"Mod Anda"	"आपके मॉड्स"	"আপনার মোড"	"Mod của bạn"	"تعديلك"
"Dashboard"	"Dashboard"	"Consola"	"Přístrojová deska"	"Kojelauta"	"Tableau de bord"	"Панель приладів"	"instrumentbräda"	"Dashbord"	"统计面板"	"Gösterge Paneli"	"Панель управления"	"მართვის პანელი"	"Bord"	"Painel"	"Panel"	"Dashboard"	"Armaturenbrett"	"계기반"	"ダッシュボード"	"Pannello di controllo"	"Dasbor"	"चकरानेवाला"	"ড্যাশবোর্ড"	"bảng điều khiển"	"لوحة القيادة"
"ModOutOfDate"	"mod is out of date"	"el mod está desactualizado"	"Mod je zastaralý"	"Mod on vanhentunut"	"Mise à jour REQUISE"	"Мод застарілий"	"mod är föråldrad"	"Mod er utdatert"	"个模组已过期"	"Mod güncel değil"	"Мод устарел"	"მოდიფიკაცია არის მოძველებული"	"Modul este demodat"	"Mod está desatualizado"	"Mod jest nieaktualny"	"Mod is verouderd"	"Mod ist veraltet veraltet"	"모드가 오래되었습니다"	"個のMODが古い"	"La mod è obsoleta"	"mod sudah ketinggalan zaman"	"MOD पुराना है"	"মোড পুরানো"	"Mod đã lỗi thời"	"وزارة الدفاع قديمة"
"ModOutOfDatePlural"	"mods are out of date"	"los mods están desactualizados"	"mody jsou zastaralé"	"Modit ovat vanhentuneita"	"Plusieurs Mises à jour REQUISES"	"моди застаріли"	"Mods är föråldrade"	"Mods er utdatert"	"个模组已过期"	"Modlar güncel değil"	"Моды устарели"	"მოდიფიკაციები არიან მოძველებული"	"Mod -urile sunt depășite"	"Mods estão desatualizados"	"Mody są nieaktualne"	"Mods zijn verouderd"	"Mods sind veraltet veraltet"	"모드는 구식입니다"	"個のMODが古い"	"Le mod sono obsolete"	"Mod sudah ketinggalan zaman"	"मॉड्स पुराने हैं"	"মোডগুলি তারিখের বাইরে"	"Mod đã lỗi thời"	"التعديلات قديمة"
"MultipleModsIncluded"	"Multiple versions of the same mod are included"	"Múltiples versiones del mismo mod están incluídos"	"Zahrnuty jsou více verzí stejného mod"	"Mukana on useita versioita samasta modista"	"Plusieurs versions du même mod sont incluses"	"Включені кілька версій одного мода"	"Flera versioner av samma mod ingår"	"Flere versjoner av samme mod er inkludert"	"包含同个模组的多个版本"	"Aynı modun birden çok sürümü dahil edilmiştir"	"Включено несколько версий одного и того же мода"	"იგივე მოდიფიკაციის მრავალი ვერსია არის დაინსტალირებული"	"Sunt incluse mai multe versiuni ale aceluiași mod"	"Várias versões do mesmo mod estão incluídas"	"Uwzględniono wiele wersji tego samego moda"	"Meerdere versies van dezelfde mod zijn inbegrepen"	"Mehrere Versionen desselben Mods sind enthalten"	"동일한 모드의 여러 버전이 포함되어 있습니다"	"同じMODで複数のバージョンが含まれています。"	"Sono incluse più versioni della stessa mod"	"Beberapa versi mod yang sama disertakan"	"एक ही मॉड के कई संस्करण शामिल हैं"	"একই মোডের একাধিক সংস্করণ অন্তর্ভুক্ত রয়েছে"	"Nhiều phiên bản của cùng một mod được bao gồm"	"يتم تضمين إصدارات متعددة من نفس وزارة الدفاع"
"ModIncluded"	"mod included"	"mod incluído"	"Mod je zahrnut"	"MOD Mukana"	"mod inclus"	"Мод включений"	"mod ingår"	"mod inkludert"	"个已包含的模组"	"Mod dahil"	"мод добавлен"	"მოდი შედის"	"mod inclus"	"mod incluído"	"W zestawie Mod"	"MOD inbegrepen"	"Mod enthalten"	"모드 포함"	"個のMODが有効"	"Mod incluso"	"termasuk mod"	"मॉड शामिल है"	"মোড অন্তর্ভুক্ত"	"Mod bao gồm"	"وشملت وزارة الدفاع"
"ModIncludedPlural"	"mods included"	"mods incluídos"	"Mods včetně"	"Moduulit sisältyvät"	"mods inclus"	"Моди включені"	"Mods ingår"	"mods inkludert"	"个已包含的模组"	"Modlar dahil"	"моды добавлены"	"მოდები შედის"	"Moduri incluse"	"mods incluídos"	"Dołączone mody"	"Mods inbegrepen"	"Mods enthalten"	"모드가 포함되어 있습니다"	"個のMODが有効"	"Mod incluse"	"termasuk mod"	"मॉड्स शामिल हैं"	"মোড অন্তর্ভুক্ত"	"Mod bao gồm"	"وشملت تعديل"
"Mods"	"Mods"	"Mods"	"Mods"	"Modit"	"Mods"	"Моди"	"Mods"	"Mods"	"模组"	"Modlar"	"Моды"	"მოდიფიკაციები"	"Moduri"	"Modificações"	"Mody"	"Mods"	"Modifikationen"	"모드"	"MOD"	"Mod"	"Mods"	"मॉड"	"মোডস"	"Mod"	"تعديل"
"Local"	"Local"	"Local"	"Místní"	"Paikallinen"	"Local"	"Місцевий"	"Lokal"	"Lokal"	"本地"	"Yerel"	"Локальные"	"ადგილობრივი"	"Local"	"Local"	"Lokalny"	"Lokaal"	"Lokal"	"현지의"	"ローカル"	"Locale"	"Lokal"	"स्थानीय"	"স্থানীয়"	"Địa phương"	"محلي"
"Workshop"	"Workshop"	"Workshop"	"Dílna"	"Työpaja"	"Atelier"	"Семінар"	"Verkstad"	"Verksted"	"创意工坊"	"Atölye"	"Мастерская"	"სახელოსნო"	"Atelier"	"Oficina"	"Warsztat"	"Werkplaats"	"Werkstatt"	"작업장"	"ワークショップ"	"Workshop"	"Bengkel"	"कार्यशाला"	"কর্মশালা"	"Xưởng"	"ورشة عمل"
"Enabled"	"Enabled"	"Activado"	"Povoleno"	"Poistettu"	"Activé"	"Увімкнено"	"Aktiverad"	"Aktivert"	"已启用"	"Etkinleştirilmiş"	"Активирован"	"ჩართული"	"Activat"	"Habilitado"	"Włączony"	"Ingeschakeld"	"Ermöglicht"	"활성화"	"有効化"	"Abilitato"	"Diaktifkan"	"सक्रिय"	"সক্ষম"	"Đã bật"	"تمكين"
"Disabled"	"Disabled"	"Desactivado"	"Deaktivované"	"Liikuntarajoitteinen"	"Désactivé"	"Інвалід"	"Inaktiverad"	"Funksjonshemmet"	"已禁用"	"Engelli"	"Выключено"	"გამორთული"	"Dezactivat"	"Desabilitado"	"Wyłączony"	"Gehandicapt"	"Behinderte"	"장애가 있는"	"無効化"	"Disabilitato"	"Dengan disabilitas"	"अक्षम"	"অক্ষম"	"Tàn tật"	"عاجز"
"Included"	"Included"	"Incluído"	"Zahrnuta"	"Mukana"	"Inclus"	"Включений"	"Ingick"	"Inkludert"	"已包含"	"Dahil"	"Включен"	"შედის"	"Inclus"	"Incluído"	"Dołączony"	"Opgenomen"	"Inbegriffen"	"포함"	"含める"	"Incluso"	"Termasuk"	"शामिल"	"অন্তর্ভুক্ত"	"Bao gồm"	"وشملت"
"Excluded"	"Excluded"	"Excluido"	"Vyloučen"	"Ulkopuolelle"	"Exclu"	"Виключений"	"Utesluten"	"Ekskludert"	"已排除"	"Hariç tutuldu"	"Исключенный"	"გამორიცხულია"	"Exclus"	"Excluído"	"Wyłączony"	"Uitgesloten"	"Ausgeschlossen"	"제외된"	"除外"	"Escluso"	"Pengecualian"	"छोड़ा गया"	"ছাঁটা"	"Loại trừ"	"مستبعد"
"Search"	"Search"	"Buscar"	"Vyhledávání"	"Hae"	"Recherche"	"Обшук"	"Sök"	"Søk"	"搜索"	"Aramak"	"Поиск"	"ძებნა"	"Căutare"	"Procurar"	"Szukaj"	"Zoekopdracht"	"Suchen"	"찾다"	"検索"	"Ricerca"	"Mencari"	"खोज"	"অনুসন্ধান"	"Tìm kiếm"	"يبحث"
"SearchDlcs"	"Search through your DLCs.."	"Buscar en la lista de DLC."	"Prohledejte své DLC .."	"Etsi DLC: t .."	"Recherchez dans vos DLC.."	"Шукайте свої DLCS .."	"Sök igenom dina DLC: er .."	"Søk gjennom DLC -ene dine .."	"搜索您的 DLC…"	"DLC'lerinizi arayın .."	"Поиск среди ваших DLCS.."	"მოძებნეთ თქვენი DLC– ებს შორის.."	"Căutați prin DLC -urile dvs."	"Pesquise seus DLCs .."	"Przeszukaj swoje DLC."	"Zoek door uw DLC's .."	"Suche durch deine DLCs .."	"DLC를 통해 검색하십시오 .."	"DLCを検索..."	"Cerca attraverso i tuoi DLC .."	"Cari DLC Anda .."	"अपने dlcs के माध्यम से खोजें .."	"আপনার ডিএলসিগুলির মাধ্যমে অনুসন্ধান করুন .."	"Tìm kiếm thông qua các DLC của bạn .."	"ابحث من خلال DLCs .."
"SearchPackages"	"Search through your packages.."	"Buscar en las lista de elementos"	"Prohledejte své balíčky .."	"Etsi pakettejasi .."	"Recherchez dans vos packages.."	"Шукайте свої пакети .."	"Sök igenom dina paket .."	"Søk gjennom pakkene dine .."	"搜索您的插件…"	"Paketlerinizi arayın .."	"Ищите среди ваших пакетов.."	"მოძებნეთ თქვენი პაკეტები .."	"Căutați prin pachetele dvs. .."	"Pesquise em seus pacotes .."	"Przeszukaj swoje pakiety .."	"Zoek door uw pakketten .."	"Suche durch deine Pakete .."	"패키지를 검색합니다 .."	"パッケージを検索..."	"Cerca attraverso i tuoi pacchetti .."	"Cari Paket Anda .."	"अपने पैकेज के माध्यम से खोजें ।।"	"আপনার প্যাকেজগুলির মাধ্যমে অনুসন্ধান করুন .."	"Tìm kiếm thông qua các gói của bạn .."	"ابحث من خلال الحزم الخاصة بك .."
"Loading"	"Loading.."	"Cargando.."	"Načítání.."	"Ladataan.."	"Chargement.."	"Завантаження .."	"Läser in.."	"Laster .."	"加载中…"	"Yükleniyor.."	"Загрузка.."	"Ჩატვირთვა.."	"Se încarcă.."	"Carregando.."	"Ładowanie.."	"Bezig met laden.."	"Wird geladen.."	"로딩 .."	"ロード中..."	"Caricamento.."	"Memuat.."	"लोड हो रहा है.."	"লোডিং .."	"Đang tải.."	"تحميل.."
